# time_s wind_ms x1_blade_m x2_tower_m
2.660000000000000142e+00 9.919000000000000483e+00 1.463286025050114958e+00 5.894689219460729213e-01
2.669999999999999929e+00 9.903999999999999915e+00 1.456891778960728301e+00 5.846118940544262621e-01
2.680000000000000160e+00 9.891999999999999460e+00 1.450410335821653574e+00 5.797188521084156720e-01
2.689999999999999947e+00 9.881999999999999673e+00 1.443843603690962540e+00 5.747910783458209938e-01
2.700000000000000178e+00 9.875999999999999446e+00 1.437193632961624168e+00 5.698298451258607678e-01
2.709999999999999964e+00 9.874000000000000554e+00 1.430462616361506623e+00 5.648364149291936753e-01
2.720000000000000195e+00 9.875000000000000000e+00 1.423652888953375939e+00 5.598120403579177617e-01
2.729999999999999982e+00 9.880000000000000782e+00 1.416766928134897352e+00 5.547579641355713242e-01
2.740000000000000213e+00 9.885999999999999233e+00 1.409807353638632854e+00 5.496754191071314688e-01
2.750000000000000000e+00 9.893000000000000682e+00 1.402776927532044970e+00 5.445656282390156644e-01
2.759999999999999787e+00 9.900000000000000355e+00 1.395678554217493206e+00 5.394298046190808549e-01
2.770000000000000018e+00 9.906000000000000583e+00 1.388515280432235377e+00 5.342691514566230149e-01
2.779999999999999805e+00 9.910000000000000142e+00 1.381290295248428945e+00 5.290848620823789261e-01
2.790000000000000036e+00 9.912000000000000810e+00 1.374006930073128130e+00 5.238781199485239570e-01
2.799999999999999822e+00 9.910999999999999588e+00 1.366668658648287238e+00 5.186500986286740611e-01
2.810000000000000053e+00 9.907999999999999474e+00 1.359279097050757334e+00 5.134019618178838895e-01
2.819999999999999840e+00 9.903999999999999915e+00 1.351842003692289573e+00 5.081348633326487896e-01
2.830000000000000071e+00 9.897999999999999687e+00 1.344361279319531866e+00 5.028499471109026953e-01
2.839999999999999858e+00 9.891999999999999460e+00 1.336840967014031767e+00 4.975483472120201256e-01
2.850000000000000089e+00 9.887000000000000455e+00 1.329285252192234479e+00 4.922311878168145749e-01
2.859999999999999876e+00 9.881999999999999673e+00 1.321698462605484181e+00 4.868995832275398450e-01
2.870000000000000107e+00 9.880000000000000782e+00 1.314085068340022699e+00 4.815546378678885464e-01
